選手名,投手野手,利き腕,球速,コントロール,スタミナ,スライダー,カーブ,フォーク,シンカー,シュート,ツーシーム,スライダー系球種,カーブ系球種,フォーク系球種,シンカー系球種,シュート系球種,ツーシーム系球種,適正,弾道,ミート,パワー,走力,肩,守備,捕球,ポジション適正,サブポジション適正,出場ポジション,打順
泉,投手,左,154,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,先発,,,,,,,,1,0,0,0
森山,投手,右,155,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,先発,,,,,,,,1,0,0,0
大塚,投手,右,156,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,先発,,,,,,,,1,0,0,0
中島,投手,右,157,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,先発,,,,,,,,1,0,0,0
植村,投手,右,158,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,先発,,,,,,,,1,0,0,0
服部,投手,右,159,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,先発,,,,,,,,1,0,0,0
岩本,投手,右,160,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,中継ぎ,,,,,,,,1,0,0,0
木村,投手,右,161,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,中継ぎ,,,,,,,,1,0,0,0
坂井,投手,右,162,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,中継ぎ,,,,,,,,1,0,0,0
京本,投手,右,163,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,中継ぎ,,,,,,,,1,0,0,0
深町,投手,右,164,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,中継ぎ,,,,,,,,1,0,0,0
吉田,投手,右,165,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,中継ぎ,,,,,,,,1,0,0,0
藪,投手,右,166,5,5,5,3,3,0,0,0,スライダー,カーブ,フォーク,なし,なし,なし,中継ぎ,,,,,,,,1,0,0,0
渡辺,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,2,0,2,8
福田,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,2,0,0,0
藤田,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,3,0,3,5
原,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,3,0,10,4
本田,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,0,4,2
深川,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,0,0,0
芹澤,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,5,0,5,7
福島,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,5,0,0,0
木場,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,6,0,6,6
北崎,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,6,0,0,0
内山,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,7,0,7,3
岡本,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,7,0,0,0
今井,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,8,0,8,9
岡田,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,8,0,0,0
滝野,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,9,0,9,1
佐藤,野手,右,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,9,0,0,0
